Wavelength_nm	WavelengthErr_nm	PDE	PDEErr
260	20.7	7.80842	0.539772
280	20.7	6.71625	0.423755
300	20.6	27.464	1.42966
320	20.6	36.4286	1.88584
340	20.6	39.1287	2.01649
360	3.7	38.8493	2.33665
370	3.7	42.5579	2.41419
380	3.7	40.341	2.25738
390	3.7	44.429	2.48184
400	3.7	46.92	2.60669
410	3.7	48.9746	2.8372
420	3.7	51.2514	2.78037
430	3.7	51.7124	2.73397
440	3.7	51.6921	2.76111
450	3.7	53.036	2.72261
460	3.7	54.4801	2.7962
470	3.7	54.9285	2.86147
480	3.7	54.3391	2.79832
490	3.7	53.0249	2.72117
500	3.7	53.153	2.69234
510	3.7	50.5241	2.56401
520	3.7	49.3418	2.50557
530	3.7	47.5509	2.41497
540	3.7	46.0905	2.35125
550	3.7	45.0007	2.27662
560	3.7	43.7685	2.21824
570	3.7	41.9877	2.13001
580	3.7	40.8361	2.0732
590	3.7	40.0404	2.03169
600	3.7	38.182	1.93643
610	3.7	36.7122	1.85997
620	3.7	35.1792	1.77846
630	3.7	34.3238	1.73221
640	3.7	32.525	1.64414
650	3.7	30.8379	1.56924
660	3.7	29.7222	1.51162
670	3.7	28.5108	1.45749
680	3.7	27.4713	1.40016
690	3.7	25.7052	1.30382
700	3.7	24.4605	1.23876
710	3.7	23.1078	1.17405
720	3.7	21.9772	1.11345
730	3.7	20.7658	1.04988
740	3.7	19.5799	0.989753
750	3.7	18.34	0.92706
760	3.7	17.3684	0.878809
770	3.7	16.4912	0.832007
780	3.7	15.4556	0.788335
790	3.7	14.5181	0.736875
800	3.7	13.3788	0.67658
810	3.7	12.2205	0.413799
820	3.7	11.2323	0.381561
830	3.7	10.4334	0.350738
840	3.7	9.66718	0.324962
850	3.7	8.88943	0.301763
860	3.7	8.07872	0.273911
870	3.7	7.29633	0.247356
880	3.7	6.5623	0.221003
890	3.7	5.92473	0.198446
900	3.7	5.28615	0.176955
910	3.7	4.75418	0.160285
920	3.7	4.21729	0.141207
930	3.7	3.73396	0.126069
940	3.7	3.29769	0.111124
950	3.7	2.91007	0.0981452
960	3.7	2.52776	0.0854023
970	3.7	2.17905	0.0739526
980	3.7	1.89787	0.0637958
990	3.7	1.66361	0.0566521
1000	3.7	1.46811	0.0498071
